Time, Usage for CentOS7-Docker-1, Usage in MHz for CentOS7-Docker-1, Usage in MHz for 0, Usage in MHz for 1
Wed May 16 16:30:00 GMT+0100 2018, 0.68, 32, 13, 15
Wed May 16 16:30:20 GMT+0100 2018, 0.66, 31, 12, 12
Wed May 16 16:30:40 GMT+0100 2018, 0.61, 29, 13, 10
Wed May 16 16:31:00 GMT+0100 2018, 0.76, 36, 18, 11
Wed May 16 16:31:20 GMT+0100 2018, 0.56, 27, 13, 9
Wed May 16 16:31:40 GMT+0100 2018, 0.59, 28, 10, 13
Wed May 16 16:32:00 GMT+0100 2018, 0.4, 19, 6, 9
Wed May 16 16:32:20 GMT+0100 2018, 0.5, 23, 5, 11
Wed May 16 16:32:40 GMT+0100 2018, 0.44, 21, 7, 11
Wed May 16 16:33:00 GMT+0100 2018, 0.58, 28, 8, 13
Wed May 16 16:33:20 GMT+0100 2018, 0.43, 21, 3, 14
Wed May 16 16:33:40 GMT+0100 2018, 0.46, 22, 2, 13
Wed May 16 16:34:00 GMT+0100 2018, 0.44, 21, 3, 12
Wed May 16 16:34:20 GMT+0100 2018, 0.38, 18, 4, 8
Wed May 16 16:34:40 GMT+0100 2018, 0.35, 17, 3, 9
Wed May 16 16:35:00 GMT+0100 2018, 0.35, 17, 3, 10
Wed May 16 16:35:20 GMT+0100 2018, 0.35, 17, 2, 9
Wed May 16 16:35:40 GMT+0100 2018, 0.31, 15, 2, 9
Wed May 16 16:36:00 GMT+0100 2018, 0.31, 15, 2, 8
Wed May 16 16:36:20 GMT+0100 2018, 0.33, 16, 3, 8
Wed May 16 16:36:40 GMT+0100 2018, 0.34, 16, 3, 8
Wed May 16 16:37:00 GMT+0100 2018, 0.34, 16, 3, 9
Wed May 16 16:37:20 GMT+0100 2018, 0.37, 17, 3, 8
Wed May 16 16:37:40 GMT+0100 2018, 0.37, 17, 2, 9
Wed May 16 16:38:00 GMT+0100 2018, 0.39, 19, 2, 9
Wed May 16 16:38:20 GMT+0100 2018, 0.38, 18, 2, 9
Wed May 16 16:38:40 GMT+0100 2018, 0.39, 19, 2, 9
Wed May 16 16:39:00 GMT+0100 2018, 0.43, 20, 3, 10
Wed May 16 16:39:20 GMT+0100 2018, 0.42, 20, 2, 9
Wed May 16 16:39:40 GMT+0100 2018, 0.4, 19, 2, 10
Wed May 16 16:40:00 GMT+0100 2018, 0.36, 17, 2, 9
Wed May 16 16:40:20 GMT+0100 2018, 0.39, 19, 2, 9
Wed May 16 16:40:40 GMT+0100 2018, 0.4, 19, 3, 9
Wed May 16 16:41:00 GMT+0100 2018, 0.39, 19, 4, 9
Wed May 16 16:41:20 GMT+0100 2018, 0.35, 17, 3, 9
Wed May 16 16:41:40 GMT+0100 2018, 0.38, 18, 2, 9
Wed May 16 16:42:00 GMT+0100 2018, 0.38, 18, 2, 8
Wed May 16 16:42:20 GMT+0100 2018, 0.35, 16, 2, 8
Wed May 16 16:42:40 GMT+0100 2018, 0.4, 19, 2, 8
Wed May 16 16:43:00 GMT+0100 2018, 0.42, 20, 4, 9
Wed May 16 16:43:20 GMT+0100 2018, 0.41, 19, 2, 8
Wed May 16 16:43:40 GMT+0100 2018, 0.36, 17, 2, 8
Wed May 16 16:44:00 GMT+0100 2018, 0.31, 14, 2, 8
Wed May 16 16:44:20 GMT+0100 2018, 0.32, 15, 2, 8
Wed May 16 16:44:40 GMT+0100 2018, 0.34, 16, 2, 8
Wed May 16 16:45:00 GMT+0100 2018, 0.36, 17, 3, 9
Wed May 16 16:45:20 GMT+0100 2018, 0.38, 18, 2, 8
Wed May 16 16:45:40 GMT+0100 2018, 0.34, 16, 3, 8
Wed May 16 16:46:00 GMT+0100 2018, 0.33, 15, 2, 8
Wed May 16 16:46:20 GMT+0100 2018, 0.3, 14, 2, 9
Wed May 16 16:46:40 GMT+0100 2018, 0.43, 20, 2, 9
Wed May 16 16:47:00 GMT+0100 2018, 0.46, 22, 3, 12
Wed May 16 16:47:20 GMT+0100 2018, 0.32, 15, 2, 9
Wed May 16 16:47:40 GMT+0100 2018, 0.41, 19, 2, 11
Wed May 16 16:48:00 GMT+0100 2018, 0.4, 19, 3, 9
Wed May 16 16:48:20 GMT+0100 2018, 0.35, 17, 3, 9
Wed May 16 16:48:40 GMT+0100 2018, 0.32, 15, 2, 9
Wed May 16 16:49:00 GMT+0100 2018, 0.42, 20, 3, 10
Wed May 16 16:49:20 GMT+0100 2018, 0.32, 15, 2, 10
Wed May 16 16:49:40 GMT+0100 2018, 0.38, 18, 2, 9
Wed May 16 16:50:00 GMT+0100 2018, 0.31, 15, 2, 8
Wed May 16 16:50:20 GMT+0100 2018, 0.36, 17, 2, 9
Wed May 16 16:50:40 GMT+0100 2018, 0.3, 14, 2, 8
Wed May 16 16:51:00 GMT+0100 2018, 0.38, 18, 3, 9
Wed May 16 16:51:20 GMT+0100 2018, 0.32, 15, 2, 8
Wed May 16 16:51:40 GMT+0100 2018, 0.33, 16, 2, 9
Wed May 16 16:52:00 GMT+0100 2018, 0.32, 15, 2, 8
Wed May 16 16:52:20 GMT+0100 2018, 0.3, 14, 2, 8
Wed May 16 16:52:40 GMT+0100 2018, 0.32, 15, 2, 8
Wed May 16 16:53:00 GMT+0100 2018, 0.39, 18, 4, 9
Wed May 16 16:53:20 GMT+0100 2018, 0.33, 15, 2, 8
Wed May 16 16:53:40 GMT+0100 2018, 0.31, 15, 2, 9
Wed May 16 16:54:00 GMT+0100 2018, 0.73, 35, 10, 18
Wed May 16 16:54:20 GMT+0100 2018, 0.73, 35, 10, 18
Wed May 16 16:54:40 GMT+0100 2018, 0.6, 28, 7, 18
Wed May 16 16:55:00 GMT+0100 2018, 0.64, 30, 8, 16
Wed May 16 16:55:20 GMT+0100 2018, 0.51, 24, 6, 14
Wed May 16 16:55:40 GMT+0100 2018, 0.63, 30, 7, 14
Wed May 16 16:56:00 GMT+0100 2018, 0.55, 26, 7, 12
Wed May 16 16:56:20 GMT+0100 2018, 26.29, 1258, 610, 590
Wed May 16 16:56:40 GMT+0100 2018, 40.2, 1924, 1049, 820
Wed May 16 16:57:00 GMT+0100 2018, 72.96, 3493, 1710, 1740
Wed May 16 16:57:20 GMT+0100 2018, 40.87, 1957, 920, 1005
Wed May 16 16:57:40 GMT+0100 2018, 23.77, 1138, 530, 566
Wed May 16 16:58:00 GMT+0100 2018, 23.4, 1120, 568, 513
Wed May 16 16:58:20 GMT+0100 2018, 26.77, 1281, 634, 613
Wed May 16 16:58:40 GMT+0100 2018, 1.99, 95, 43, 48
Wed May 16 16:59:00 GMT+0100 2018, 0.6, 28, 10, 14
Wed May 16 16:59:20 GMT+0100 2018, 0.72, 34, 12, 14
Wed May 16 16:59:40 GMT+0100 2018, 0.62, 29, 12, 13
Wed May 16 17:00:00 GMT+0100 2018, 1.32, 63, 30, 27
Wed May 16 17:00:20 GMT+0100 2018, 0.67, 32, 9, 18
Wed May 16 17:00:40 GMT+0100 2018, 0.59, 28, 11, 10
Wed May 16 17:01:00 GMT+0100 2018, 0.71, 34, 14, 15
Wed May 16 17:01:20 GMT+0100 2018, 0.71, 34, 13, 14
Wed May 16 17:01:40 GMT+0100 2018, 0.59, 28, 11, 11
Wed May 16 17:02:00 GMT+0100 2018, 0.59, 28, 11, 11
Wed May 16 17:02:20 GMT+0100 2018, 0.67, 32, 13, 14
Wed May 16 17:02:40 GMT+0100 2018, 0.61, 29, 12, 12
Wed May 16 17:03:00 GMT+0100 2018, 0.6, 28, 10, 11
Wed May 16 17:03:20 GMT+0100 2018, 0.6, 28, 11, 12
Wed May 16 17:03:40 GMT+0100 2018, 0.59, 28, 11, 11
Wed May 16 17:04:00 GMT+0100 2018, 0.6, 28, 11, 11
Wed May 16 17:04:20 GMT+0100 2018, 0.62, 30, 13, 12
Wed May 16 17:04:40 GMT+0100 2018, 0.59, 28, 12, 9
Wed May 16 17:05:00 GMT+0100 2018, 0.52, 25, 11, 9
Wed May 16 17:05:20 GMT+0100 2018, 0.57, 27, 11, 9
Wed May 16 17:05:40 GMT+0100 2018, 0.56, 27, 12, 10
Wed May 16 17:06:00 GMT+0100 2018, 16.16, 773, 379, 360
Wed May 16 17:06:20 GMT+0100 2018, 33.76, 1616, 793, 760
Wed May 16 17:06:40 GMT+0100 2018, 59.59, 2853, 1472, 1344
Wed May 16 17:07:00 GMT+0100 2018, 51.63, 2472, 1239, 1211
Wed May 16 17:07:20 GMT+0100 2018, 20.85, 998, 458, 510
Wed May 16 17:07:40 GMT+0100 2018, 19.25, 921, 478, 415
Wed May 16 17:08:00 GMT+0100 2018, 22.1, 1058, 519, 502
Wed May 16 17:08:20 GMT+0100 2018, 13.46, 644, 312, 315
Wed May 16 17:08:40 GMT+0100 2018, 2.17, 104, 56, 39
Wed May 16 17:09:00 GMT+0100 2018, 0.66, 31, 17, 9
Wed May 16 17:09:20 GMT+0100 2018, 0.6, 28, 13, 12
Wed May 16 17:09:40 GMT+0100 2018, 0.64, 30, 10, 14
Wed May 16 17:10:00 GMT+0100 2018, 1.32, 63, 43, 13
Wed May 16 17:10:20 GMT+0100 2018, 0.73, 35, 10, 18
Wed May 16 17:10:40 GMT+0100 2018, 0.63, 30, 4, 19
Wed May 16 17:11:00 GMT+0100 2018, 0.52, 25, 6, 16
Wed May 16 17:11:20 GMT+0100 2018, 0.55, 26, 7, 14
Wed May 16 17:11:40 GMT+0100 2018, 0.61, 29, 6, 17
Wed May 16 17:12:00 GMT+0100 2018, 0.61, 29, 8, 14
Wed May 16 17:12:20 GMT+0100 2018, 0.61, 29, 9, 16
Wed May 16 17:12:40 GMT+0100 2018, 0.59, 28, 9, 13
Wed May 16 17:13:00 GMT+0100 2018, 0.54, 26, 12, 11
Wed May 16 17:13:20 GMT+0100 2018, 0.62, 29, 11, 12
Wed May 16 17:13:40 GMT+0100 2018, 0.58, 28, 11, 12
Wed May 16 17:14:00 GMT+0100 2018, 0.62, 29, 11, 12
Wed May 16 17:14:20 GMT+0100 2018, 0.65, 31, 13, 14
Wed May 16 17:14:40 GMT+0100 2018, 0.61, 29, 10, 13
Wed May 16 17:15:00 GMT+0100 2018, 0.54, 26, 9, 12
Wed May 16 17:15:20 GMT+0100 2018, 0.6, 28, 10, 13
Wed May 16 17:15:40 GMT+0100 2018, 0.6, 28, 12, 11
Wed May 16 17:16:00 GMT+0100 2018, 0.52, 25, 9, 12
Wed May 16 17:16:20 GMT+0100 2018, 0.63, 30, 10, 15
Wed May 16 17:16:40 GMT+0100 2018, 0.61, 29, 11, 12
Wed May 16 17:17:00 GMT+0100 2018, 0.56, 27, 11, 11
Wed May 16 17:17:20 GMT+0100 2018, 0.61, 29, 11, 12
Wed May 16 17:17:40 GMT+0100 2018, 0.57, 27, 13, 9
Wed May 16 17:18:00 GMT+0100 2018, 0.55, 26, 13, 8
Wed May 16 17:18:20 GMT+0100 2018, 0.73, 35, 12, 14
Wed May 16 17:18:40 GMT+0100 2018, 15.36, 735, 366, 335
Wed May 16 17:19:00 GMT+0100 2018, 34.57, 1655, 765, 817
Wed May 16 17:19:20 GMT+0100 2018, 57.12, 2734, 1342, 1355
Wed May 16 17:19:40 GMT+0100 2018, 60.43, 2893, 1375, 1495
Wed May 16 17:20:00 GMT+0100 2018, 16.91, 809, 380, 407
Wed May 16 17:20:20 GMT+0100 2018, 17.79, 851, 434, 394
Wed May 16 17:20:40 GMT+0100 2018, 17.63, 844, 397, 424
Wed May 16 17:21:00 GMT+0100 2018, 28.73, 1375, 661, 686
Wed May 16 17:21:20 GMT+0100 2018, 1.68, 80, 28, 45
Wed May 16 17:21:40 GMT+0100 2018, 0.72, 34, 11, 14
Wed May 16 17:22:00 GMT+0100 2018, 0.68, 32, 12, 13
Wed May 16 17:22:20 GMT+0100 2018, 0.69, 33, 12, 15
Wed May 16 17:22:40 GMT+0100 2018, 1.43, 68, 44, 17
Wed May 16 17:23:00 GMT+0100 2018, 0.81, 38, 15, 17
Wed May 16 17:23:20 GMT+0100 2018, 0.72, 34, 12, 14
Wed May 16 17:23:40 GMT+0100 2018, 0.71, 34, 11, 14
Wed May 16 17:24:00 GMT+0100 2018, 0.68, 32, 11, 12
Wed May 16 17:24:20 GMT+0100 2018, 0.63, 30, 7, 17
Wed May 16 17:24:40 GMT+0100 2018, 0.61, 29, 7, 17
Wed May 16 17:25:00 GMT+0100 2018, 0.66, 31, 10, 17
Wed May 16 17:25:20 GMT+0100 2018, 0.65, 31, 10, 14
Wed May 16 17:25:40 GMT+0100 2018, 0.62, 29, 9, 15
Wed May 16 17:26:00 GMT+0100 2018, 0.65, 31, 11, 13
Wed May 16 17:26:20 GMT+0100 2018, 0.64, 30, 10, 14
Wed May 16 17:26:40 GMT+0100 2018, 0.61, 29, 10, 14
Wed May 16 17:27:00 GMT+0100 2018, 0.66, 31, 13, 13
Wed May 16 17:27:20 GMT+0100 2018, 0.62, 30, 12, 11
Wed May 16 17:27:40 GMT+0100 2018, 0.68, 32, 12, 13
Wed May 16 17:28:00 GMT+0100 2018, 0.65, 31, 11, 13
Wed May 16 17:28:20 GMT+0100 2018, 0.64, 31, 13, 11
Wed May 16 17:28:40 GMT+0100 2018, 0.64, 30, 12, 13
Wed May 16 17:29:00 GMT+0100 2018, 0.71, 33, 14, 14
Wed May 16 17:29:20 GMT+0100 2018, 0.6, 28, 9, 14
